x="687562.625"	y="293928.8125"
x="692378.375"	y="292835.0938"
x="692382.125"	y="292862.5938"
x="691502.0"	y="293401.9063"
x="690746.5"	y="293133.25"
x="694999.625"	y="289945.8125"
x="694675.5"	y="290765.8438"
x="685167.8125"	y="253253.4063"
x="691704.625"	y="292795.3125"
x="691621.625"	y="292458.375"
x="691885.8125"	y="291534.4063"
x="691455.1875"	y="291310.5"
x="691086.8125"	y="290320.0938"
x="690707.625"	y="288785.0938"
x="690120.3125"	y="287016.5938"
x="690154.6875"	y="288043.1875"
x="692220.3125"	y="290103.5938"
x="692404.5"	y="290276.3125"
x="685655.0"	y="252922.1719"
x="692440.6875"	y="285256.0"
x="692966.1875"	y="285449.0"
x="694654.6875"	y="285838.0"
x="696094.5"	y="284898.0"
x="696788.0625"	y="284346.6875"
x="694576.8125"	y="283565.5938"
x="693925.625"	y="283664.0"
x="693855.625"	y="283852.5"
x="695048.625"	y="289981.1875"
x="696178.875"	y="290800.1875"
x="685588.5"	y="253478.7969"
x="695668.875"	y="289333.0"
x="701114.6875"	y="286256.9063"
x="701004.3125"	y="286139.0938"
x="699899.6875"	y="285866.5938"
x="702752.8125"	y="284990.0938"
x="703217.1875"	y="284799.4063"
x="703060.3125"	y="284957.9063"
x="704828.1875"	y="285401.0938"
x="689114.5"	y="287183.4063"
x="699983.8125"	y="280238.9063"
x="665029.125"	y="213469.4531"
x="698744.875"	y="282807.5938"
x="697080.8125"	y="282207.6875"
x="698055.5"	y="280688.0"
x="698175.3125"	y="280503.5938"
x="697368.125"	y="282699.4063"
x="698460.0"	y="282922.0938"
x="693670.5"	y="274745.1875"
x="694073.625"	y="275007.0938"
x="694138.1875"	y="276558.8125"
x="694183.625"	y="277157.6875"
x="664706.375"	y="213185.9063"
x="694582.875"	y="279122.1875"
x="695052.8125"	y="277128.9063"
x="695107.8125"	y="276435.0938"
x="695217.0"	y="276139.5938"
x="696798.625"	y="274957.3125"
x="697560.5"	y="272764.9063"
x="698123.1875"	y="272758.6875"
x="697817.5"	y="272050.9063"
x="697547.875"	y="271567.1875"
x="699116.125"	y="270479.1875"
x="664513.6875"	y="212869.2031"
x="700422.125"	y="270104.0"
x="700985.1875"	y="270030.5"
x="701013.8125"	y="270021.0938"
x="706816.375"	y="269013.6875"
x="706145.5"	y="271272.5938"
x="705304.0"	y="272769.6875"
x="704873.0"	y="270955.3125"
x="703727.125"	y="272670.1875"
x="708013.5"	y="271415.9063"
x="705256.5"	y="273003.6875"
x="664784.3125"	y="212355.9844"
x="703871.0"	y="274271.1875"
x="703476.8125"	y="274336.3125"
x="702258.1875"	y="276207.4063"
x="702364.125"	y="276571.9063"
x="701599.5"	y="277196.5"
x="702120.125"	y="276710.8125"
x="704415.375"	y="275773.0"
x="707381.8125"	y="274223.8125"
x="707657.875"	y="273843.0"
x="708010.125"	y="273601.9063"
x="665060.1875"	y="212067.0"
x="709116.5"	y="272782.4063"
x="708865.875"	y="271891.6875"
x="708527.8125"	y="271661.0938"
x="707837.3125"	y="271316.9063"
x="708503.8125"	y="271146.4063"
x="702566.0"	y="273155.8125"
x="701864.3125"	y="274690.6875"
x="700888.6875"	y="275461.1875"
